Feature.Type;Context;INSWORD;Evaluation.Set;Acc
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-4.0;Train.Subset;71.27
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-4.0;Test.Set;66.93
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-2.0;Train.Subset;71.06
MFC_E_D_Z;-3,-2,-1,0,1,2,3;-2.0;Test.Set;66.53
MFC_E_D_Z;-3,-2,-1,0,1,2,3;0.0;Train.Subset;69.82
MFC_E_D_Z;-3,-2,-1,0,1,2,3;0.0;Test.Set;64.93
MFC_E_D_Z;-3,-2,-1,0,1,2,3;2.0;Train.Subset;67.03
MFC_E_D_Z;-3,-2,-1,0,1,2,3;2.0;Test.Set;61.71
MFC_E_D_Z;-3,-2,-1,0,1,2,3;4.0;Train.Subset;61.98
MFC_E_D_Z;-3,-2,-1,0,1,2,3;4.0;Test.Set;56.10
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-32.0;Train.Subset;57.59
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-32.0;Test.Set;54.24
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-16.0;Train.Subset;67.22
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-16.0;Test.Set;63.11
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-8.0;Train.Subset;72.15
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-8.0;Test.Set;67.20
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-4.0;Train.Subset;73.46
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-4.0;Test.Set;68.08
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-2.0;Train.Subset;73.46
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;-2.0;Test.Set;67.78
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;0.0;Train.Subset;72.46
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;0.0;Test.Set;66.41
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;2.0;Train.Subset;70.26
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;2.0;Test.Set;63.56
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;4.0;Train.Subset;65.82
MFC_E_D_Z;-4,-3,-2,-1,0,1,2,3,4;4.0;Test.Set;58.61
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-32.0;Train.Subset;57.35
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-32.0;Test.Set;53.95
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-16.0;Train.Subset;67.06
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-16.0;Test.Set;62.92
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-8.0;Train.Subset;72.11
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-8.0;Test.Set;67.18
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-4.0;Train.Subset;73.59
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-4.0;Test.Set;68.23
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-2.0;Train.Subset;73.68
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;-2.0;Test.Set;67.89
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;0.0;Train.Subset;72.96
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;0.0;Test.Set;66.76
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;2.0;Train.Subset;70.81
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;2.0;Test.Set;64.20
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;4.0;Train.Subset;66.26
MFC_E_D_Z;-5,-4,-3,-2,-1,0,1,2,3,4,5;4.0;Test.Set;59.55
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-32.0;Train.Subset;57.77
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-32.0;Test.Set;54.01
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-16.0;Train.Subset;67.51
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-16.0;Test.Set;62.96
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-8.0;Train.Subset;72.59
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-8.0;Test.Set;67.34
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-4.0;Train.Subset;74.12
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-4.0;Test.Set;68.31
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-2.0;Train.Subset;74.32
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;-2.0;Test.Set;68.28
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;0.0;Train.Subset;73.75
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;0.0;Test.Set;67.33
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;2.0;Train.Subset;71.81
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;2.0;Test.Set;64.98
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;4.0;Train.Subset;67.66
MFC_E_D_Z;-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6;4.0;Test.Set;60.35
